"Рік","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII","I.XII"
1881,"-9.9","-6.2","-2.2","4.4","14.1","16.9","19.6","18.1","12.3","4.6","0.4","-4.9","5.6"
1882,"-1.4","-2.5","4.4","7.6","15.3","16.1","22.7","18.4","14.5","4.6","0.5","-5.6","7.9"
1883,"-10.2","-7.7","-3.8","4.6","14.6","19.3","21.1","18.5","16.0","8.2","3.1","-3.7","6.7"
1884,"-3.5","-1.6","-2.6","4.1","13.9","18.2","19.6","15.5","12.1","7.4","-1.4","0.4","6.8"
1885,"-6.3","-3.4","0.0","9.0","13.0","19.0","22.8","16.1","14.3","10.3","-0.5","-3.5","7.6"
1886,"-4.0","-8.6","-3.9","8.2","15.2","17.3","17.9","18.7","13.7","5.5","3.2","0.9","7.0"
1887,"-4.3","-6.2","-0.9","6.3","16.2","13.9","18.8","16.9","15.5","5.9","2.9","-1.3","7.0"
1888,"-8.5","-9.7","-2.1","8.5","13.9","16.6","17.7","17.2","14.0","8.6","-0.8","-7.3","5.7"
1889,"-9.4","-3.9","-4.8","7.4","17.4","17.9","20.7","18.0","10.6","10.2","3.3","-6.2","6.8"
1890,"-4.0","-6.8","1.6","10.6","16.6","16.1","20.6","22.8","14.0","6.5","0.7","-11.9","7.2"
1891,"-9.0","-6.4","1.1","5.7","16.3","17.5","21.3","18.6","14.4","8.8","-2.5","-1.8","7.0"
1892,"-7.6","-2.3","-1.3","8.2","15.9","20.7","18.2","20.1","16.7","7.7","-1.0","-5.6","7.5"
1893,"-14.6","-5.2","-0.1","2.9","12.5","16.5","18.6","17.7","12.6","9.3","1.4","-2.9","5.7"
1894,"-8.1","-2.6","1.4","7.8","13.5","14.4","19.6","18.3","10.2","6.8","0.6","-3.9","6.5"
1895,"-2.0","-7.5","-1.7","5.7","13.6","17.0","20.1","18.8","12.8","9.0","1.9","-8.2","6.6"
1896,"-10.7","-5.1","-0.8","4.2","13.3","18.7","19.3","19.7","14.8","12.1","-1.4","-3.5","6.7"
1897,"-6.9","-3.9","1.1","9.6","17.4","18.5","21.8","20.3","14.6","7.1","-1.4","-5.1","7.8"
1898,"-2.9","-4.9","-4.4","5.2","16.4","16.0","18.2","19.4","12.0","4.9","3.5","0.7","7.0"
1899,"-0.3","-3.3","-0.3","8.5","14.3","14.9","19.0","16.0","14.4","7.6","3.4","-8.3","7.2"
1900,"-5.1","-3.2","-2.8","5.7","14.2","16.4","19.8","20.2","12.3","8.7","-0.3","-0.3","7.1"
1901,"-6.2","-6.4","0.5","6.9","14.6","21.6","20.1","19.6","12.2","7.8","0.7","0.0","7.6"
1902,"-0.4","-3.2","0.3","5.2","12.4","18.1","16.9","17.2","12.1","5.1","-3.7","-8.2","6.0"
1903,"-4.6","-0.2","3.8","8.3","14.5","19.0","20.0","18.6","15.1","5.8","2.9","-4.6","8.2"
1904,"-6.8","-1.3","-2.4","6.6","11.9","16.0","17.2","17.3","11.4","7.9","0.6","-1.2","6.4"
1905,"-7.4","-3.5","-1.5","5.7","15.4","19.4","18.9","19.5","13.8","6.6","3.2","-2.4","7.3"
1906,"-3.7","-4.7","1.9","9.9","17.9","19.1","19.3","16.5","11.6","6.5","3.4","-2.9","7.9"
1907,"-7.7","-8.1","-2.5","4.8","16.8","17.2","17.8","17.2","14.4","10.9","-2.3","-6.0","6.0"
1908,"-4.7","-2.6","-1.7","5.4","14.2","17.2","19.0","17.4","13.2","5.4","-3.4","-7.2","6.0"
1909,"-8.9","-9.0","-1.6","4.9","12.3","17.8","19.3","19.9","18.4","10.8","1.5","-0.8","7.1"
1910,"-3.4","-1.0","1.4","8.3","16.2","19.9","19.0","16.9","13.5","5.7","2.0","-0.8","8.1"
1911,"-6.3","-10.8","-0.9","8.2","16.1","15.0","17.0","17.6","13.0","8.0","2.9","-4.1","6.3"
1912,"-8.8","-6.1","2.2","5.4","11.5","18.2","17.0","17.4","11.8","2.8","0.5","0.2","6.0"
1913,"-5.1","-4.1","4.2","10.4","12.2","15.4","17.7","19.0","14.1","7.3","4.1","0.2","8.0"
1914,"-5.0","0.7","3.9","8.2","15.7","18.0","20.0","16.8","11.5","5.6","-1.9","-1.4","7.7"
1915,"-2.7","-3.3","-3.0","7.9","13.8","18.1","20.0","16.6","12.2","6.2","0.9","-1.7","7.1"
1916,"-2.1","-2.5","0.9","8.7","12.2","16.8","18.6","16.5","12.2","7.7","1.7","-2.3","7.4"
1917,"-8.2","-11.0","-3.7","8.0","12.4","19.8","17.6","19.1","13.3","8.8","4.7","-3.9","6.4"
1918,"-2.5","-2.8","0.3","10.6","11.6","16.7","18.1","17.0","15.1","12.1","0.1","-2.9","7.8"
1919,"-4.6","-5.3","-0.6","9.4","10.4","16.1","18.8","16.2","17.0","6.7","-3.5","-3.7","6.4"
1920,"-4.6","-5.3","2.9","12.5","16.9","15.6","22.4","20.4","13.9","2.2","-2.5","-5.7","7.4"
1921,"-1.1","-6.5","4.8","10.6","16.6","17.9","19.6","19.8","11.8","7.9","-3.5","-5.9","7.7"
1922,"-8.6","-5.4","1.4","6.6","14.5","17.5","20.5","18.1","11.4","4.0","1.9","-1.7","6.7"
1923,"-2.6","-8.4","1.0","5.5","16.7","16.1","18.1","16.4","15.8","10.4","5.8","-3.5","7.6"
1924,"-11.8","-7.4","-3.5","5.3","17.7","21.3","18.2","18.6","16.9","8.1","0.5","-5.0","6.6"
1925,"-0.3","1.5","1.9","9.0","16.8","14.9","20.6","17.9","12.7","6.8","1.9","-4.2","8.3"
1926,"-5.8","-4.8","-1.9","8.6","15.0","17.5","20.1","15.5","12.6","7.6","6.1","-2.7","7.3"
1927,"-8.2","-6.4","1.7","7.3","12.7","19.7","20.4","20.3","16.6","8.9","1.5","-9.2","7.1"
1928,"-5.3","-7.9","-5.3","6.1","13.0","14.3","19.4","16.4","13.5","6.9","4.5","-2.6","6.1"
1929,"-8.8","-15.9","-4.6","2.0","16.7","15.4","19.0","22.8","12.3","11.8","3.3","-1.7","6.0"
1930,"-2.2","-3.9","2.3","9.0","14.5","17.0","17.8","18.8","13.0","9.0","4.0","-5.8","7.8"
1931,"-7.0","-9.9","-2.8","4.4","16.9","17.9","21.6","18.1","12.2","6.8","-0.3","-3.7","6.2"
1932,"-2.5","-10.3","-4.8","6.7","16.5","17.7","20.9","18.9","16.7","9.7","2.0","0.1","7.6"
1933,"-9.2","-5.2","-1.2","3.7","12.9","14.8","19.4","16.6","12.6","8.4","1.5","-9.4","5.4"
1934,"-6.4","-3.3","3.4","10.7","16.6","17.5","19.1","19.2","15.9","9.9","3.8","-6.8","8.3"
1935,"-9.9","-3.5","-1.1","7.8","12.5","19.2","16.9","18.4","14.4","12.4","-0.9","-1.2","7.1"
1936,"0.4","-5.4","2.9","7.5","16.4","19.0","25.5","18.2","12.4","4.9","1.9","-1.2","8.5"
1937,"-9.1","-4.3","2.1","7.9","17.4","19.5","19.8","19.2","17.8","7.5","2.6","-2.0","8.2"
1938,"-6.0","-3.4","3.4","6.8","14.0","18.6","22.6","21.9","15.9","10.2","4.9","-6.7","8.5"
1939,"-2.8","-1.0","-0.5","9.1","15.2","19.5","21.5","22.0","14.5","5.0","1.9","-3.2","8.4"
1940,"-11.2","-9.5","-3.5","5.6","14.3","19.0","19.5","18.2","13.8","5.1","4.6","-5.7","5.9"
1941,"-9.9","-3.3","-1.6","7.3","11.4","16.0","20.4","18.4","13.8","5.0","4.6","-5.7","6.4"
1942,"-15.0","-8.9","-6.9","4.3","13.2","15.3","19.0","20.0","15.9","8.2","-0.9","-3.3","5.1"
1943,"-9.6","-3.3","0.7","9.6","12.6","17.9","17.9","20.2","15.9","8.1","-0.9","-3.0","7.2"
1944,"-2.1","-2.1","0.3","5.1","13.5","17.5","19.9","19.3","15.8","9.3","3.2","-4.1","8.0"
1945,"-7.7","-6.1","-0.4","6.9","12.8","17.1","19.2","19.1","14.3","6.6","0.6","-4.8","6.5"
1946,"-5.5","-3.9","0.2","9.6","16.5","21.2","20.5","22.8","15.3","3.2","-0.6","-5.8","7.8"
1947,"-9.7","-8.2","0.3","9.3","15.3","19.9","21.5","17.8","14.9","4.2","1.2","-0.4","7.2"
1948,"-1.2","-5.4","-1.0","10.2","16.7","19.9","18.5","19.6","13.8","8.3","0.6","-5.3","7.9"
1949,"-1.8","-2.9","-0.3","7.5","17.5","16.5","19.1","18.2","14.8","7.0","4.4","0.0","8.3"
1950,"-12.4","-1.2","1.1","12.9","15.8","17.5","18.9","17.2","14.6","6.5","2.4","-0.7","7.7"
1951,"-5.1","-6.6","0.7","10.7","13.9","19.3","20.4","20.6","15.3","4.6","2.2","-0.4","8.0"
1952,"-1.6","-3.1","-6.4","9.3","12.7","17.4","19.5","20.8","14.5","8.1","1.1","-3.1","7.4"
1953,"-4.7","-7.4","0.5","7.9","13.7","20.9","22.1","19.2","13.6","7.9","-1.6","-3.7","7.4"
1954,"-12.5","-13.0","0.9","5.3","15.4","21.8","20.3","20.4","16.0","7.9","1.8","-1.8","6.9"
1955,"-3.6","-3.1","-0.8","5.0","13.4","16.9","21.0","19.8","16.6","9.9","-0.2","-3.1","7.7"
1956,"-4.3","-13.1","-2.8","7.0","13.4","20.9","18.2","18.1","12.2","8.0","-2.8","-3.3","6.0"
1957,"-4.1","0.6","-0.3","9.3","14.6","18.9","20.3","19.1","13.7","8.0","3.0","-3.3","8.3"
1958,"-3.8","-1.0","-0.6","5.8","17.6","16.7","19.8","18.3","12.2","8.1","1.0","-0.5","7.8"
1959,"-2.1","-2.6","1.8","8.0","13.3","19.0","23.4","19.7","10.9","5.5","-0.3","-5.1","7.6"
1960,"-4.8","-5.0","-2.2","7.4","14.4","19.3","21.3","17.9","12.0","9.3","3.7","2.8","8.0"
1961,"-4.5","-1.3","3.4","9.6","13.2","20.3","20.4","18.4","13.5","8.1","2.8","-3.8","8.3"
1962,"-1.2","-3.8","-1.6","10.3","14.8","16.8","17.4","18.7","13.2","8.7","4.2","-4.0","7.8"
1963,"-13.8","-5.6","-3.9","6.4","18.2","17.4","21.6","20.9","16.5","8.7","4.4","-7.0","7.0"
1964,"-6.5","-7.4","-4.2","8.4","13.0","22.3","20.2","16.4","14.1","9.1","2.1","0.0","7.3"
1965,"-4.8","-7.2","-0.2","5.2","12.7","17.6","18.6","17.1","14.6","6.4","-1.7","0.2","6.5"
1966,"-3.9","-1.8","3.3","11.5","16.4","16.9","20.7","19.5","12.7","11.5","1.2","-3.5","8.7"
1967,"-9.8","-6.3","1.6","9.6","17.5","18.2","20.4","18.5","15.6","11.2","4.4","-4.5","8.0"
1968,"-9.0","-4.4","1.0","10.4","15.1","20.1","18.0","19.4","14.1","7.0","1.0","-3.4","7.4"
1969,"-9.8","-7.0","-3.5","7.4","14.8","17.3","18.8","18.1","13.2","7.5","5.7","-6.5","6.3"
1970,"-5.5","-4.9","0.5","9.4","15.0","17.2","20.8","17.7","13.4","6.4","3.2","-2.0","7.6"
1971,"-3.0","-3.6","-1.7","7.4","16.1","18.1","18.4","19.1","12.1","7.2","2.1","0.9","7.8"
1972,"-10.9","-4.4","1.5","10.9","16.0","19.7","22.0","20.8","13.4","6.8","3.4","-0.5","8.2"
1973,"-6.9","-0.2","1.6","10.6","14.4","17.9","20.1","18.5","12.1","7.3","0.9","-2.6","7.8"
1974,"-5.7","-0.1","2.7","6.9","12.6","17.0","17.9","18.7","15.6","9.6","2.9","0.4","8.2"
1975,"0.4","-2.0","3.7","11.2","19.0","20.7","20.3","19.5","16.9","7.6","-0.3","-1.3","9.6"
1976,"-5.8","-8.7","0.0","10.2","12.6","16.2","18.1","16.5","13.3","4.2","2.6","-0.8","6.5"
1977,"-6.4","-1.0","2.8","8.3","15.2","17.2","19.0","16.9","11.7","7.7","4.1","-4.3","7.6"
1978,"-5.8","-5.2","2.3","8.7","12.6","16.6","17.1","18.0","11.9","8.1","4.7","-6.1","6.9"
1979,"-5.4","-6.3","2.2","6.5","17.6","21.5","16.9","19.1","14.9","5.9","0.9","-0.1","7.8"
1980,"-7.2","-4.4","-3.6","7.0","11.3","17.1","18.8","17.3","13.7","8.8","1.3","-1.3","6.6"
1981,"-","-2.2","2.0","5.4","16.1","21.1","20.8","18.3","14.2","9.6","1.8","-1.5","-"
1982,"-3.1","-4.9","2.0","7.0","15.1","16.9","18.5","19.3","15.7","8.7","4.0","2.2","8.5"
1983,"-0.5","-2.6","3.2","10.9","17.9","18.2","19.2","18.9","16.2","8.3","1.2","-1.4","9.1"
1984,"-2.4","-5.9","0.4","9.8","16.7","15.7","17.6","18.7","15.4","10.1","0.5","-5.0","7.6"
1985,"-9.5","-12.5","-3.3","9.4","17.0","16.7","17.9","20.7","12.5","8.1","-1.4","-1.3","6.2"
1986,"-2.7","-9.2","0.2","10.7","16.7","19.3","19.0","19.9","12.5","7.3","1.7","-3.5","7.7"
1987,"-13.7","-3.9","-5.7","5.0","14.2","18.2","20.3","16.4","13.3","6.8","2.2","-3.0","5.8"
1988,"-4.8","-3.4","1.3","8.1","15.2","18.3","21.7","18.5","14.1","7.2","-2.2","-3.1","7.6"
1989,"0.5","2.5","5.2","10.1","15.2","19.4","19.4","19.6","14.5","9.1","0.2","-0.2","9.6"
1990,"-0.1","2.7","6.9","9.4","14.6","16.9","18.4","18.5","12.0","8.6","5.2","-2.3","9.2"
1991,"-1.6","-5.8","0.5","-","12.8","18.5","21.2","18.9","14.8","8.8","2.4","-2.8","-"
1992,"-1.8","-1.7","3.7","7.0","13.6","18.7","20.7","22.9","13.5","6.4","1.6","-3.6","8.4"
1993,"-1.2","-2.4","0.9","8.0","16.5","16.7","17.9","17.5","11.5","7.8","-6.0","-0.2","7.3"
1994,"0.1","-5.8","1.4","10.9","13.1","16.3","21.1","19.1","17.8","8.0","1.1","-3.4","8.3"
1995,"-3.9","2.2","3.5","8.8","14.0","20.1","20.5","19.8","13.8","9.0","-0.3","-5.4","8.5"
1996,"-9.8","-7.1","-3.0","9.2","18.6","18.8","19.3","19.1","11.2","8.6","6.7","-3.9","7.3"
1997,"-5.7","-1.1","2.1","6.1","16.1","18.3","19.4","19.2","11.8","6.2","3.2","-4.2","7.6"
1998,"-1.0","0.4","1.3","10.3","15.2","19.8","19.5","18.3","14.2","7.7","-3.3","-5.1","8.1"
1999,"-2.2","-1.5","3.2","11.7","12.8","22.6","22.7","19.3","15.8","8.2","-0.2","-0.2","9.4"
2000,"-4.1","0.0","1.7","12.7","15.4","17.9","19.1","20.5","12.3","9.5","4.5","1.3","9.2"
2001,"-1.0","-2.5","2.7","11.2","14.2","16.7","24.6","21.0","13.8","9.3","2.3","-7.3","8.8"
2002,"-2.6","3.7","5.5","9.9","16.5","18.4","23.9","20.1","13.9","7.0","3.9","-8.4","9.3"
2003,"-3.8","-6.4","0.1","6.9","19.4","18.0","21.3","19.2","14.1","6.8","3.4","-0.6","8.2"
2004,"-4.3","-2.6","3.9","9.1","13.2","17.7","20.5","20.1","14.2","9.3","2.9","0.1","8.7"
2005,"-0.6","-5.1","-1.6","10.3","16.4","17.3","21.4","20.0","16.3","9.0","2.2","-1.0","8.7"
2006,"-7.5","-6.1","0.0","9.7","14.4","18.4","20.9","19.9","15.5","9.7","3.4","2.4","8.4"
2007,"2.1","-4.2","6.3","9.0","18.4","20.4","21.3","21.5","14.8","9.4","0.6","-0.9","9.9"
2008,"-3.0","0.6","4.6","10.7","14.3","18.8","20.8","21.6","13.5","10.7","3.5","-0.6","9.6"
2009,"-3.3","-1.7","2.3","11.1","15.1","20.4","21.7","19.2","17.3","9.1","4.7","-3.2","9.4"
2010,"-8.8","-3.2","1.4","10.3","17.3","22.0","24.4","24.6","14.9","6.3","8.0","-4.2","9.4"
2011,"-2.4","-6.1","1.5","10.2","16.7","21.1","21.7","19.3","15.8","7.7","2.4","2.2","9.2"
2012,"-4.0","-10.0","2.5","11.8","18.1","20.0","23.6","20.4","16.2","10.1","4.6","-5.0","9.0"
2013,"-4,3","-0,6","-1,7","10,3","18,9","21,6","20,8","19,9","12,4","9,7","6,4","-0,2","9,4"
2014,"-4,8","-0,5","6,8","10,3","16,9","18,2","22,1","21,3","15,3","7,7","1,7","-2,1","9,4"
2015,"-0,8","-0,7","5,1","9,7","16,0","20,4","21,9","22,6","17,8","7,3","4,7","1,9","10,5"
2016,"-5,7","2,0","3,9","12,4","15,5","20,6","22,4","21,1","16,1","6,5","1,2","-1,5","9,5"
2017,"-4,9","-2,8","6,2","10,4","15,2","20,0","20,9","22,4","16,4","8,4","3,3","1,6","9,8"
2018,"-2,4","-3,8","-1,9","13,1","18,8","20,6","21,4","22,5","17,3","10,7","0,3","-2,2","9,5"
